term	location	context	action	final_status
NO-GO	ALL_SCANNED	No occurrence in reader-facing materials	Remove internal decision label from reader-facing prose.	PASS
NOT_TESTABLE	ALL_SCANNED	No occurrence in reader-facing materials	Use unresolved prespecified reliability wording.	PASS
GO	ALL_SCANNED	No occurrence in reader-facing materials	Remove internal gate label from reader-facing prose.	PASS
Phase 3	ALL_SCANNED	No occurrence in reader-facing materials	Remove internal phase label from reader-facing prose.	PASS
frozen	ALL_SCANNED	No occurrence in reader-facing materials	Use prespecified or retained wording in reader-facing prose.	PASS
locked	ALL_SCANNED	No occurrence in reader-facing materials	Use prespecified wording in reader-facing prose.	PASS
gate	ALL_SCANNED	No occurrence in reader-facing materials	Use reliability criteria or submission status wording.	PASS
PH3B0_	ALL_SCANNED	No occurrence in reader-facing materials	Use pair and chromosome/region labels in reader-facing materials.	PASS
QC provenance	ALL_SCANNED	No occurrence in reader-facing materials	Use quality-control records or unresolved LD-QC wording.	PASS
causal gene/variant	reader-facing manuscript set	entrated and heterogeneous. The map is association-based and does not establish causal variants, mechanisms or clinical utility. # Introduction Complex diseases frequently co-occur across organ systems, yet the g	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
causal gene/variant	reader-facing manuscript set	family and a clear distinction between regional association sharing and shared causal variants. Recent work has moved in several complementary directions. Multivariate genetic models can summarize broad covariance	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
causal gene/variant	reader-facing manuscript set	re the full pattern of cross-domain sharing. It does not test causal direction, causal genes, biological pathways, clinical prediction or therapeutic utility; ABF results and LD-aware fine-mapping outputs remain	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
causal gene/variant	reader-facing manuscript set	ults were retained as secondary screening evidence and did not establish shared causal variants or causal genes (Fig. 5; Supplementary Fig. 6; Supplementary Table 5). ## LD-aware multi-signal validation did not mee	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
causal gene/variant	reader-facing manuscript set	as secondary screening evidence and did not establish shared causal variants or causal genes (Fig. 5; Supplementary Fig. 6; Supplementary Table 5). ## LD-aware multi-signal validation did not meet prespecified Q	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
causal gene/variant	reader-facing manuscript set	urs across trait comparisons. It is not evidence that the interval contains one causal variant, one causal gene or one biological pathway. This distinction matters because pleiotropy can arise through multiple vari	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
causal gene/variant	reader-facing manuscript set	parisons. It is not evidence that the interval contains one causal variant, one causal gene or one biological pathway. This distinction matters because pleiotropy can arise through multiple variants, opposing al	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
causal gene/variant	reader-facing manuscript set	e values prioritize regions for future work, but they do not establish a shared causal variant. The ABF model was based on prespecified intervals, available allele-frequency information and a scalar regional N; BMI	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
